Model unknown

  Variables:
    HPCFeed1Temp : Size=1, Index=None
        Key  : Lower : Value              : Upper : Fixed : Stale : Domain
           (13, 'Argon') :     0 :   0.011172281968830406 :     1 : False : False :  Reals
        (13, 'Nitrogen') :     0 :     0.9634170934668569 :     1 : False : False :  Reals
          (13, 'Oxygen') :     0 :    0.02541062456431275 :     1 : False : False :  Reals
           (14, 'Argon') :     0 :   0.010914045322427379 :     1 : False : False :  Reals
        (14, 'Nitrogen') :     0 :     0.9694066536871405 :     1 : False : False :  Reals
          (14, 'Oxygen') :     0 :   0.019679300990432077 :     1 : False : False :  Reals
           (15, 'Argon') :     0 :   0.010578654752589208 :     1 : False : False :  Reals
        (15, 'Nitrogen') :     0 :      0.974291897944779 :     1 : False : False :  Reals
          (15, 'Oxygen') :     0 :    0.01512944730263165 :     1 : False : False :  Reals
           (16, 'Argon') :     0 :   0.010186403555412058 :     1 : False : False :  Reals
        (16, 'Nitrogen') :     0 :     0.9782532188426284 :     1 : False : False :  Reals
          (16, 'Oxygen') :     0 :   0.011560377601959578 :     1 : False : False :  Reals
           (17, 'Argon') :     0 :   0.009753446029064241 :     1 : False : False :  Reals
        (17, 'Nitrogen') :     0 :     0.9814589266115935 :     1 : False : False :  Reals
          (17, 'Oxygen') :     0 :    0.00878762735934221 :     1 : False : False :  Reals
           (18, 'Argon') :     0 :   0.009292789246291653 :     1 : False : False :  Reals
        (18, 'Nitrogen') :     0 :      0.984057076245312 :     1 : False : False :  Reals
          (18, 'Oxygen') :     0 :   0.006650134508396331 :     1 : False : False :  Reals
           (19, 'Argon') :     0 :    0.00881502783239182 :     1 : False : False :  Reals
