Model unknown

  Variables:
    HPCPE0UALeakage : Size=1, Index=None
        Key  : Lower : Value             : Upper : Fixed : Stale : Domain
        None :     0 : 81.71976882511288 :  None : False : False : NonNegativeReals
    HPCPE0AmbientTemp : Size=1, Index=None
        Key  : Lower : Value : Upper : Fixed : Stale : Domain
        None :    10 :  40.0 :    40 : False : False :  Reals
    HPCFeed1PE0Temp : Size=1, Index=None
        Key  : Lower : Value               : Upper : Fixed : Stale : Domain
        None :  None : -172.91332175279416 :  None : False : False :  Reals
    HPCFeed1PE0LiqMFrac : Size=3, Index=Component
        Key      : Lower : Value                : Upper : Fixed : Stale : Domain
           Argon :     0 : 0.016592086631512556 :     1 : False : False :  Reals
        Nitrogen :     0 :   0.4897712742527327 :     1 : False : False :  Reals
          Oxygen :     0 :   0.4936366391157547 :     1 : False : False :  Reals
    HPCFeed1PE0VapMFrac : Size=3, Index=Component
        Key      : Lower : Value                : Upper : Fixed : Stale : Domain
           Argon :     0 : 0.009151181905479361 :     1 : False : False :  Reals
        Nitrogen :     0 :   0.7871475250152504 :     1 : False : False :  Reals
          Oxygen :     0 :  0.20370129307927032 :     1 : False : False :  Reals
    HPCFeed2PE0Temp : Size=1, Index=None
        Key  : Lower : Value               : Upper : Fixed : Stale : Domain
        None :  None : -175.45005287578545 :  None : False : False :  Reals
    HPCFeed2PE0LiqMFrac : Size=3, Index=Component
        Key      : Lower : Value                : Upper : Fixed : Stale : Domain
           Argon :     0 : 0.006082274504320306 :     1 : False : False :  Reals
        Nitrogen :     0 :   0.7734123886005839 :     1 : False : False :  Reals
          Oxygen :     0 :  0.22050533689509583 :     1 : False : False :  Reals
    HPCFeed2PE0VapMFrac : Size=3, Index=Component
        Key      : Lower : Value               : Upper : Fixed : Stale : Domain
           Argon :     0 : 0.04434298194403244 :     1 : False : False :  Reals
        Nitrogen :     0 :  0.8660118107101684 :     1 : False : False :  Reals
          Oxygen :     0 : 0.08964520734579913 :     1 : False : False :  Reals
    HPCPE0VapLvMFlow : Size=42, Index=HPCPE0Trays
        Key : Lower : Value              : Upper : Fixed : Stale : Domain
          1 :     0 :   3284.18800813051 :  None : False : False : NonNegativeReals
          2 :     0 :  3301.530591058832 :  None : False : False : NonNegativeReals
          3 :     0 : 3318.1233512259846 :  None : False : False : NonNegativeReals
          4 :     0 : 3548.3339221575866 :  None : False : False : NonNegativeReals
          5 :     0 :  3556.826940793089 :  None : False : False : NonNegativeReals
          6 :     0 :  3573.906272574126 :  None : False : False : NonNegativeReals
          7 :     0 :  3590.248225493033 :  None : False : False : NonNegativeReals
          8 :     0 :  3605.712888197012 :  None : False : False : NonNegativeReals
          9 :     0 :  3617.403756351557 :  None : False : False : NonNegativeReals
         10 :     0 : 3627.4100058758117 :  None : False : False : NonNegativeReals
         11 :     0 :  3634.696279056294 :  None : False : False : NonNegativeReals
         12 :     0 : 3640.2454913564243 :  None : False : False : NonNegativeReals
         13 :     0 : 3644.0121685780055 :  None : False : False : NonNegativeReals
         14 :     0 : 3645.9527279031067 :  None : False : False : NonNegativeReals
         15 :     0 : 3646.5452548374205 :  None : False : False : NonNegativeReals
         16 :     0 : 3646.0688860674413 :  None : False : False : NonNegativeReals
         17 :     0 :  3644.770965329329 :  None : False : False : NonNegativeReals
         18 :     0 : 3642.8509146393662 :  None : False : False : NonNegativeReals
         19 :     0 : 3640.4523737065506 :  None : False : False : NonNegativeReals
         20 :     0 :  3637.701466819186 :  None : False : False : NonNegativeReals
         21 :     0 :  3634.677238216637 :  None : False : False : NonNegativeReals
         22 :     0 :  3584.165849234281 :  None : False : False : NonNegativeReals
         23 :     0 :   3580.78168194698 :  None : False : False : NonNegativeReals
         24 :     0 :  3577.277383002456 :  None : False : False : NonNegativeReals
         25 :     0 : 3573.6848543147544 :  None : False : False : NonNegativeReals
         26 :     0 : 3570.0226902919244 :  None : False : False : NonNegativeReals
         27 :     0 : 3566.3091488865757 :  None : False : False : NonNegativeReals
         28 :     0 :  3562.555838870314 :  None : False : False : NonNegativeReals
         29 :     0 :  3558.770749819055 :  None : False : False : NonNegativeReals
         30 :     0 : 3554.9608629888717 :  None : False : False : NonNegativeReals
         31 :     0 : 3551.1311027751344 :  None : False : False : NonNegativeReals
         32 :     0 :  3547.285430870631 :  None : False : False : NonNegativeReals
         33 :     0 :  3543.426203074995 :  None : False : False : NonNegativeReals
         34 :     0 :    3539.5558752886 :  None : False : False : NonNegativeReals
         35 :     0 : 3535.6765687184607 :  None : False : False : NonNegativeReals
         36 :     0 : 3531.7887738050367 :  None : False : False : NonNegativeReals
         37 :     0 : 3527.8941477406556 :  None : False : False : NonNegativeReals
         38 :     0 : 3523.9909380501535 :  None : False : False : NonNegativeReals
         39 :     0 :  3520.087691621252 :  None : False : False : NonNegativeReals
         40 :     0 : 3516.1776637714565 :  None : False : False : NonNegativeReals
         41 :     0 : 3512.2638301483985 :  None : False : False : NonNegativeReals
         42 :     0 :  3508.727684232544 :  None : False : False : NonNegativeReals
    HPCPE0LiqLvMFlow : Size=42, Index=HPCPE0Trays
        Key : Lower : Value              : Upper : Fixed : Stale : Domain
          1 :     0 : 2197.3854026693607 :  None : False : False : NonNegativeReals
          2 :     0 : 2155.5734107998705 :  None : False : False : NonNegativeReals
          3 :     0 : 2172.9159937281925 :  None : False : False : NonNegativeReals
          4 :     0 : 2189.5087538953453 :  None : False : False : NonNegativeReals
          5 :     0 : 1143.7193248269477 :  None : False : False : NonNegativeReals
          6 :     0 :   1152.21234346245 :  None : False : False : NonNegativeReals
          7 :     0 : 1999.0916752434869 :  None : False : False : NonNegativeReals
          8 :     0 : 2015.4336281623937 :  None : False : False : NonNegativeReals
          9 :     0 :  2030.898290866372 :  None : False : False : NonNegativeReals
         10 :     0 : 2042.5891590209174 :  None : False : False : NonNegativeReals
         11 :     0 :  2052.595408545172 :  None : False : False : NonNegativeReals
         12 :     0 : 2059.8816817256543 :  None : False : False : NonNegativeReals
         13 :     0 : 2065.4308940257843 :  None : False : False : NonNegativeReals
         14 :     0 :  2069.197571247366 :  None : False : False : NonNegativeReals
         15 :     0 : 2071.1381305724667 :  None : False : False : NonNegativeReals
         16 :     0 : 2071.7306575067823 :  None : False : False : NonNegativeReals
         17 :     0 :  2071.254288736802 :  None : False : False : NonNegativeReals
         18 :     0 :  2069.956367998691 :  None : False : False : NonNegativeReals
         19 :     0 : 2068.0363173087276 :  None : False : False : NonNegativeReals
         20 :     0 :  2065.637776375912 :  None : False : False : NonNegativeReals
         21 :     0 : 2062.8868694885477 :  None : False : False : NonNegativeReals
         22 :     0 : 2059.8626408859977 :  None : False : False : NonNegativeReals
         23 :     0 : 2056.6412519036417 :  None : False : False : NonNegativeReals
         24 :     0 :  2053.257084616342 :  None : False : False : NonNegativeReals
         25 :     0 : 2049.7527856718166 :  None : False : False : NonNegativeReals
         26 :     0 : 2046.1602569841154 :  None : False : False : NonNegativeReals
         27 :     0 : 2042.4980929612857 :  None : False : False : NonNegativeReals
         28 :     0 : 2038.7845515559366 :  None : False : False : NonNegativeReals
         29 :     0 :  2035.031241539674 :  None : False : False : NonNegativeReals
         30 :     0 : 2031.2461524884159 :  None : False : False : NonNegativeReals
         31 :     0 : 2027.4362656582332 :  None : False : False : NonNegativeReals
         32 :     0 : 2023.6065054444962 :  None : False : False : NonNegativeReals
         33 :     0 : 2019.7608335399923 :  None : False : False : NonNegativeReals
         34 :     0 :  2015.901605744357 :  None : False : False : NonNegativeReals
         35 :     0 : 2012.0312779579615 :  None : False : False : NonNegativeReals
         36 :     0 : 2008.1519713878224 :  None : False : False : NonNegativeReals
         37 :     0 :  2004.264176474398 :  None : False : False : NonNegativeReals
         38 :     0 : 2000.3695504100172 :  None : False : False : NonNegativeReals
         39 :     0 :  1996.466340719515 :  None : False : False : NonNegativeReals
         40 :     0 : 1992.5630942906125 :  None : False : False : NonNegativeReals
         41 :     0 : 1988.6530664408183 :  None : False : False : NonNegativeReals
         42 :     0 : 1984.7392328177596 :  None : False : False : NonNegativeReals
    HPCPE0TrayTemp : Size=42, Index=HPCPE0Trays
        Key : Lower : Value               : Upper : Fixed : Stale : Domain
          1 :  None : -173.71923506600686 :  None : False : False :  Reals
          2 :  None : -174.12858110294357 :  None : False : False :  Reals
          3 :  None : -174.52386165216944 :  None : False : False :  Reals
          4 :  None : -174.88817378985965 :  None : False : False :  Reals
          5 :  None : -175.11476582198995 :  None : False : False :  Reals
          6 :  None :     -175.4924052633 :  None : False : False :  Reals
          7 :  None :  -175.8536829262153 :  None : False : False :  Reals
          8 :  None : -176.18495414125778 :  None : False : False :  Reals
          9 :  None : -176.47771116870027 :  None : False : False :  Reals
         10 :  None : -176.72800086096518 :  None : False : False :  Reals
         11 :  None : -176.93697355315828 :  None : False : False :  Reals
         12 :  None :  -177.1121592421306 :  None : False : False :  Reals
         13 :  None : -177.25447559660117 :  None : False : False :  Reals
         14 :  None :  -177.3696421090774 :  None : False : False :  Reals
         15 :  None :  -177.4620058726046 :  None : False : False :  Reals
         16 :  None : -177.53644418741396 :  None : False : False :  Reals
         17 :  None : -177.59706116752125 :  None : False : False :  Reals
         18 :  None : -177.64710328986692 :  None : False : False :  Reals
         19 :  None : -177.68918346858368 :  None : False : False :  Reals
         20 :  None : -177.72523131595852 :  None : False : False :  Reals
         21 :  None : -177.75677403083242 :  None : False : False :  Reals
         22 :  None : -177.78489830122214 :  None : False : False :  Reals
         23 :  None :  -177.8104558983206 :  None : False : False :  Reals
         24 :  None :  -177.8339657851657 :  None : False : False :  Reals
         25 :  None : -177.85593808615263 :  None : False : False :  Reals
         26 :  None : -177.87673763378174 :  None : False : False :  Reals
         27 :  None : -177.89664407310482 :  None : False : False :  Reals
         28 :  None : -177.91586061485233 :  None : False : False :  Reals
         29 :  None : -177.93453253151083 :  None : False : False :  Reals
         30 :  None :  -177.9527775356701 :  None : False : False :  Reals
         31 :  None : -177.97067770014334 :  None : False : False :  Reals
         32 :  None :  -177.9882950799966 :  None : False : False :  Reals
         33 :  None : -178.00568070137692 :  None : False : False :  Reals
         34 :  None : -178.02287179969125 :  None : False : False :  Reals
         35 :  None : -178.03989722300454 :  None : False : False :  Reals
         36 :  None : -178.05678214252424 :  None : False : False :  Reals
