Parameter Estimation Result:

HPCUALeakage	81.71976882511288
HPCAmbientTemp	40.0

#-----------------------------
#       Error Case  0
#-----------------------------
var
true_value	after	before	error_after	error_before
HPCPE0LiqLvMFlow[26]	2000.253378	2046.1602569841154	2065.614258	2.295053%	3.267630%
HPCPE0LiqLvMFlow[27]	2000.553467	2042.4980929612857	2065.483131	2.096651%	3.245585%
HPCPE0LiqLvMFlow[28]	2000.764298	2038.7845515559366	2065.269573	1.900286%	3.224032%
HPCPE0LiqLvMFlow[29]	2000.903881	2035.031241539674	2064.991593	1.705597%	3.202938%
HPCPE0LiqLvMFlow[30]	2000.986011	2031.2461524884159	2064.662882	1.512262%	3.182275%
HPCPE0LiqLvMFlow[31]	2001.021287	2027.4362656582332	2064.292985	1.320075%	3.161970%
HPCPE0LiqLvMFlow[32]	2001.017891	2023.6065054444962	2063.890159	1.128856%	3.142014%
HPCPE0LiqLvMFlow[33]	2000.982177	2019.7608335399923	2063.460155	0.938472%	3.122366%
HPCPE0LiqLvMFlow[34]	2000.91912	2015.901605744357	2063.006596	0.748780%	3.102948%
HPCPE0LiqLvMFlow[35]	2000.832651	2012.0312779579615	2062.534308	0.559698%	3.083799%
HPCPE0LiqLvMFlow[36]	2000.725908	2008.1519713878224	2062.04468	0.371168%	3.064826%
HPCPE0LiqLvMFlow[37]	2000.601428	2004.264176474398	2061.540392	0.183082%	3.046032%
HPCPE0LiqLvMFlow[38]	2000.461284	2000.3695504100172	2061.022393	-0.004586%	3.027357%
HPCPE0LiqLvMFlow[39]	2000.307193	1996.466340719515	2060.477882	-0.192013%	3.008072%
HPCPE0LiqLvMFlow[40]	2000.140594	1992.5630942906125	2059.953517	-0.378848%	2.990436%
HPCPE0LiqLvMFlow[41]	1999.962707	1988.6530664408183	2059.404792	-0.565493%	2.972160%
HPCPE0LiqLvMFlow[42]	1999.774589	1984.7392328177596	2058.849736	-0.751853%	2.954090%
HPCPE0TrayTemp[1]	-173.7216905	-173.71923506600686	-173.6796235	-0.001413%	-0.024215%
HPCPE0TrayTemp[2]	-174.1353408	-174.12858110294357	-174.0622229	-0.003882%	-0.041989%
HPCPE0TrayTemp[3]	-174.5401255	-174.52386165216944	-174.4468977	-0.009318%	-0.053413%
HPCPE0TrayTemp[4]	-174.9178868	-174.88817378985965	-174.816412	-0.016987%	-0.058013%
HPCPE0TrayTemp[5]	-175.0873053	-175.11476582198995	-174.9938316	0.015684%	-0.053387%
HPCPE0TrayTemp[6]	-175.3910693	-175.4924052633	-175.3074439	0.057777%	-0.047679%
HPCPE0TrayTemp[7]	-175.6944174	-175.8536829262153	-175.6233278	0.090649%	-0.040462%
HPCPE0TrayTemp[8]	-175.9867099	-176.18495414125778	-175.9294238	0.112647%	-0.032551%
HPCPE0TrayTemp[9]	-176.2590873	-176.47771116870027	-176.2154005	0.124036%	-0.024786%
HPCPE0TrayTemp[10]	-176.5054241	-176.72800086096518	-176.4739241	0.126102%	-0.017846%
HPCPE0TrayTemp[11]	-176.7225846	-176.93697355315828	-176.7010938	0.121314%	-0.012161%
HPCPE0TrayTemp[12]	-176.9100917	-177.1121592421306	-176.8961466	0.114220%	-0.007883%
HPCPE0TrayTemp[13]	-177.06946	-177.25447559660117	-177.0607438	0.104488%	-0.004922%
HPCPE0TrayTemp[14]	-177.2034502	-177.3696421090774	-177.1979725	0.093786%	-0.003091%
HPCPE0TrayTemp[15]	-177.3154153	-177.4620058726046	-177.3116008	0.082672%	-0.002151%
HPCPE0TrayTemp[16]	-177.408818	-177.53644418741396	-177.4055086	0.071939%	-0.001865%
HPCPE0TrayTemp[17]	-177.4869217	-177.59706116752125	-177.4833354	0.062055%	-0.002021%
HPCPE0TrayTemp[18]	-177.5526267	-177.64710328986692	-177.5482725	0.053210%	-0.002452%
HPCPE0TrayTemp[19]	-177.608408	-177.68918346858368	-177.6030297	0.045480%	-0.003028%
HPCPE0TrayTemp[20]	-177.6563171	-177.72523131595852	-177.6498139	0.038791%	-0.003661%
HPCPE0TrayTemp[21]	-177.6980182	-177.75677403083242	-177.6904095	0.033065%	-0.004282%
HPCPE0TrayTemp[22]	-177.7348405	-177.78489830122214	-177.7262089	0.028164%	-0.004856%
HPCPE0TrayTemp[23]	-177.7678333	-177.8104558983206	-177.7583113	0.023977%	-0.005356%
HPCPE0TrayTemp[24]	-177.7976166	-177.8339657851657	-177.7873777	0.020444%	-0.005759%
HPCPE0TrayTemp[25]	-177.8248944	-177.85593808615263	-177.8141189	0.017457%	-0.006060%
HPCPE0TrayTemp[26]	-177.8502062	-177.87673763378174	-177.8390699	0.014918%	-0.006262%
HPCPE0TrayTemp[27]	-177.8739644	-177.89664407310482	-177.8626364	0.012750%	-0.006369%
HPCPE0TrayTemp[28]	-177.8964844	-177.91586061485233	-177.8851215	0.010892%	-0.006387%
HPCPE0TrayTemp[29]	-177.918008	-177.93453253151083	-177.9067538	0.009288%	-0.006325%
HPCPE0TrayTemp[30]	-177.9387207	-177.9527775356701	-177.9277064	0.007900%	-0.006190%
HPCPE0TrayTemp[31]	-177.9587658	-177.97067770014334	-177.9481088	0.006694%	-0.005988%
HPCPE0TrayTemp[32]	-177.9782546	-177.9882950799966	-177.9680578	0.005641%	-0.005729%
HPCPE0TrayTemp[33]	-177.9972743	-178.00568070137692	-177.9876299	0.004723%	-0.005418%
HPCPE0TrayTemp[34]	-178.0158938	-178.02287179969125	-178.0068807	0.003920%	-0.005063%
HPCPE0TrayTemp[35]	-178.034168	-178.03989722300454	-178.0258554	0.003218%	-0.004669%
HPCPE0TrayTemp[36]	-178.0521415	-178.05678214252424	-178.0445885	0.002606%	-0.004242%
HPCPE0TrayTemp[37]	-178.0698506	-178.07354270298393	-178.0631054	0.002073%	-0.003788%
HPCPE0TrayTemp[38]	-178.0873257	-178.090196145953	-178.0814279	0.001612%	-0.003312%
HPCPE0TrayTemp[39]	-178.1045923	-178.1067567166844	-178.0996197	0.001215%	-0.002792%
HPCPE0TrayTemp[40]	-178.1216719	-178.12323635476875	-178.1176326	0.000878%	-0.002268%
HPCPE0TrayTemp[41]	-178.1385833	-178.13963867903252	-178.1354863	0.000592%	-0.001739%
HPCPE0TrayTemp[42]	-178.1553429	-178.15597131960314	-178.1531916	0.000353%	-0.001208%
HPCPE0VapLvMFlow[1]	3278.966664	3284.18800813051	3285.14579	0.159237%	0.188447%
HPCPE0VapLvMFlow[2]	3299.866715	3301.530591058832	3304.061679	0.050423%	0.127125%
HPCPE0VapLvMFlow[3]	3320.446971	3318.1233512259846	3323.263518	-0.069979%	0.084824%
HPCPE0VapLvMFlow[4]	3446.489701	3548.3339221575866	3556.614732	2.955013%	3.195281%
HPCPE0VapLvMFlow[5]	3455.049069	3556.826940793089	3565.54647	2.945772%	3.198143%
HPCPE0VapLvMFlow[6]	3471.042832	3573.906272574126	3582.242317	2.963474%	3.203633%
HPCPE0VapLvMFlow[7]	3487.084036	3590.248225493033	3599.090127	2.958466%	3.212027%
HPCPE0VapLvMFlow[8]	3502.561554	3605.712888197012	3615.452921	2.945026%	3.223109%
HPCPE0VapLvMFlow[9]	3516.958747	3617.403756351557	3630.727314	2.856019%	3.234856%
HPCPE0VapLvMFlow[10]	3529.910911	3627.4100058758117	3644.420061	2.762084%	3.243967%
HPCPE0VapLvMFlow[11]	3541.223647	3634.696279056294	3656.292007	2.639557%	3.249395%
HPCPE0VapLvMFlow[12]	3550.856518	3640.2454913564243	3666.28483	2.517392%	3.250717%
HPCPE0VapLvMFlow[13]	3558.886189	3644.0121685780055	3674.489107	2.391928%	3.248289%
HPCPE0VapLvMFlow[14]	3565.463878	3645.9527279031067	3681.070577	2.257458%	3.242403%
HPCPE0VapLvMFlow[15]	3570.777478	3646.5452548374205	3686.250032	2.121885%	3.233821%
HPCPE0VapLvMFlow[16]	3575.023171	3646.0688860674413	3690.254893	1.987280%	3.223244%
HPCPE0VapLvMFlow[17]	3578.387085	3644.770965329329	3693.300061	1.855134%	3.211306%
HPCPE0VapLvMFlow[18]	3581.035349	3642.8509146393662	3695.575909	1.726193%	3.198532%
HPCPE0VapLvMFlow[19]	3583.110148	3640.4523737065506	3697.241262	1.600348%	3.185253%
HPCPE0VapLvMFlow[20]	3584.729578	3637.701466819186	3698.430629	1.477709%	3.171817%
HPCPE0VapLvMFlow[21]	3585.989606	3634.677238216637	3699.247504	1.357718%	3.158344%
HPCPE0VapLvMFlow[22]	3539.675159	3584.165849234281	3652.487695	1.256914%	3.187087%
HPCPE0VapLvMFlow[23]	3540.4154	3580.78168194698	3652.781161	1.140157%	3.173802%
HPCPE0VapLvMFlow[24]	3540.971883	3577.277383002456	3652.89467	1.025298%	3.160793%
HPCPE0VapLvMFlow[25]	3541.384778	3573.6848543147544	3652.870239	0.912075%	3.148075%
HPCPE0VapLvMFlow[26]	3541.684867	3570.0226902919244	3652.739112	0.800123%	3.135633%
HPCPE0VapLvMFlow[27]	3541.895698	3566.3091488865757	3652.525553	0.689276%	3.123465%
HPCPE0VapLvMFlow[28]	3542.035281	3562.555838870314	3652.247573	0.579344%	3.111553%
HPCPE0VapLvMFlow[29]	3542.117411	3558.770749819055	3651.918862	0.470152%	3.099882%
HPCPE0VapLvMFlow[30]	3542.152687	3554.9608629888717	3651.548965	0.361593%	3.088412%
HPCPE0VapLvMFlow[31]	3542.14929	3551.1311027751344	3651.146139	0.253570%	3.077139%
HPCPE0VapLvMFlow[32]	3542.113576	3547.285430870631	3650.716136	0.146010%	3.066038%
HPCPE0VapLvMFlow[33]	3542.050519	3543.426203074995	3650.262577	0.038839%	3.055068%
HPCPE0VapLvMFlow[34]	3541.96405	3539.5558752886	3649.790289	-0.067990%	3.044250%
HPCPE0VapLvMFlow[35]	3541.857308	3535.6765687184607	3649.30066	-0.174506%	3.033531%
HPCPE0VapLvMFlow[36]	3541.732828	3531.7887738050367	3648.796372	-0.280768%	3.022914%
HPCPE0VapLvMFlow[37]	3541.592684	3527.8941477406556	3648.278374	-0.386790%	3.012365%
HPCPE0VapLvMFlow[38]	3541.438593	3523.9909380501535	3647.733863	-0.492671%	3.001471%
HPCPE0VapLvMFlow[39]	3541.271994	3520.087691621252	3647.209498	-0.598212%	2.991510%
HPCPE0VapLvMFlow[40]	3541.094106	3516.1776637714565	3646.660773	-0.703637%	2.981188%
HPCPE0VapLvMFlow[41]	3540.905989	3512.2638301483985	3646.105716	-0.808894%	2.970983%
HPCPE0VapLvMFlow[42]	3541.094846	3508.727684232544	3645.930815	-0.914044%	2.960552%

#-----------------------------
#       Error Case  1
#-----------------------------
var
true_value	after	before	error_after	error_before
HPCPE1LiqLvMFlow[1]	1882.0	2004.3419158899912	2137.65402	6.500633%	13.584167%
HPCPE1LiqLvMFlow[2]	1834.037398	1964.1435530961849	2096.799809	7.093975%	14.326993%
HPCPE1LiqLvMFlow[3]	1850.887406	1979.422013233067	2115.715698	6.944485%	14.308179%
HPCPE1LiqLvMFlow[4]	1869.213	1994.5419098018742	2134.917537	6.704903%	14.214781%
HPCPE1LiqLvMFlow[5]	788.4147033	1010.9511525849562	1092.268751	28.225812%	38.539876%
HPCPE1LiqLvMFlow[6]	790.9869725	1018.1299755386519	1101.20049	28.716403%	39.218537%
HPCPE1LiqLvMFlow[7]	1626.77056	1863.774567159088	1947.696336	14.568988%	19.727784%
HPCPE1LiqLvMFlow[8]	1633.480043	1878.9637071958948	1964.544146	15.028262%	20.267410%
HPCPE1LiqLvMFlow[9]	1640.901197	1893.2609576701868	1980.906941	15.379339%	20.720671%
HPCPE1LiqLvMFlow[10]	1648.930942	1904.2735805547866	1996.181333	15.485345%	21.059123%
HPCPE1LiqLvMFlow[11]	1657.413339	1913.5874820518304	2009.87408	15.456262%	21.265712%
HPCPE1LiqLvMFlow[12]	1666.152299	1920.36127042673	2021.746026	15.257247%	21.342210%
HPCPE1LiqLvMFlow[13]	1674.931672	1925.4322450882057	2031.738849	14.955868%	21.302790%
HPCPE1LiqLvMFlow[14]	1683.53835	1928.8071672349208	2039.943126	14.568650%	21.169983%
HPCPE1LiqLvMFlow[15]	1691.783357	1930.461603194646	2046.524597	14.108086%	20.968479%
HPCPE1LiqLvMFlow[16]	1699.516923	1930.8379776190684	2051.704051	13.610989%	20.722779%
HPCPE1LiqLvMFlow[17]	1706.635715	1930.2005817729205	2055.708913	13.099741%	20.453879%
HPCPE1LiqLvMFlow[18]	1713.082678	1928.7833747984932	2058.754081	12.591377%	20.178326%
HPCPE1LiqLvMFlow[19]	1718.84145	1926.7752964650633	2061.029928	12.097326%	19.908089%
HPCPE1LiqLvMFlow[20]	1723.927862	1924.3129378762883	2062.695282	11.623751%	19.650905%
HPCPE1LiqLvMFlow[21]	1728.380683	1921.5159025311402	2063.884648	11.174345%	19.411462%
HPCPE1LiqLvMFlow[22]	1732.253104	1918.459459509492	2064.701523	10.749373%	19.191677%
HPCPE1LiqLvMFlow[23]	1735.605714	1915.2157699800548	2065.231715	10.348552%	18.991986%
HPCPE1LiqLvMFlow[24]	1738.455299	1911.817074849846	2065.52518	9.972173%	18.813822%
HPCPE1LiqLvMFlow[25]	1740.875979	1908.3041028594714	2065.638689	9.617464%	18.655132%
HPCPE1LiqLvMFlow[26]	1742.93435	1904.7072792752874	2065.614258	9.281642%	18.513601%
HPCPE1LiqLvMFlow[27]	1744.689485	1901.0443999678937	2065.483131	8.961762%	18.386862%
HPCPE1LiqLvMFlow[28]	1746.192651	1897.3328216036537	2065.269573	8.655412%	18.272722%
HPCPE1LiqLvMFlow[29]	1747.487593	1893.5835987452817	2064.991593	8.360346%	18.169170%
HPCPE1LiqLvMFlow[30]	1748.611115	1889.8043350684488	2064.662882	8.074592%	18.074446%
HPCPE1LiqLvMFlow[31]	1749.593832	1886.0016991577404	2064.292985	7.796545%	17.986983%
HPCPE1LiqLvMFlow[32]	1750.460959	1882.1803442708251	2063.890159	7.524840%	17.905524%
HPCPE1LiqLvMFlow[33]	1751.233088	1878.3440372081761	2063.460155	7.258368%	17.828984%
HPCPE1LiqLvMFlow[34]	1751.926911	1874.4950486815706	2063.006596	6.996190%	17.756431%
HPCPE1LiqLvMFlow[35]	1752.55586	1870.6356601833802	2062.534308	6.737577%	17.687222%
HPCPE1LiqLvMFlow[36]	1753.130676	1866.7679220218017	2062.04468	6.481961%	17.620706%
HPCPE1LiqLvMFlow[37]	1753.65989	1862.8922913032134	2061.540392	6.228825%	17.556455%
HPCPE1LiqLvMFlow[38]	1754.150239	1859.0103509244732	2061.022393	5.977830%	17.494063%
HPCPE1LiqLvMFlow[39]	1754.607008	1855.1207714598015	2060.477882	5.728563%	17.432443%
HPCPE1LiqLvMFlow[40]	1755.034313	1851.2305843120696	2059.953517	5.481162%	17.373974%
HPCPE1LiqLvMFlow[41]	1755.435341	1847.3344694341204	2059.404792	5.235119%	17.315901%
HPCPE1LiqLvMFlow[42]	1755.812544	1843.4348501933807	2058.849736	4.990413%	17.259086%
HPCPE1TrayTemp[1]	-173.6429506	-173.69855136793436	-173.6796235	0.032020%	0.021120%
HPCPE1TrayTemp[2]	-174.0039133	-174.09555806211597	-174.0622229	0.052668%	0.033511%
HPCPE1TrayTemp[3]	-174.3921521	-174.48852598983686	-174.4468977	0.055263%	0.031392%
HPCPE1TrayTemp[4]	-174.7905387	-174.85987495662528	-174.816412	0.039668%	0.014802%
HPCPE1TrayTemp[5]	-174.8559733	-175.07681759177459	-174.9938316	0.126301%	0.078841%
HPCPE1TrayTemp[6]	-174.9889566	-175.45787704811448	-175.3074439	0.267971%	0.182004%
HPCPE1TrayTemp[7]	-175.1355429	-175.8235248297783	-175.6233278	0.392828%	0.278519%
HPCPE1TrayTemp[8]	-175.2945475	-176.15962965330897	-175.9294238	0.493502%	0.362177%
HPCPE1TrayTemp[9]	-175.4639807	-176.4571775459934	-176.2154005	0.566040%	0.428247%
HPCPE1TrayTemp[10]	-175.6411062	-176.71191701909237	-176.4739241	0.609658%	0.474159%
HPCPE1TrayTemp[11]	-175.822614	-176.9247398864183	-176.7010938	0.626840%	0.499640%
HPCPE1TrayTemp[12]	-176.0048908	-177.10274902585599	-176.8961466	0.623766%	0.506381%
HPCPE1TrayTemp[13]	-176.1843406	-177.24734015577025	-177.0607438	0.603345%	0.497435%
HPCPE1TrayTemp[14]	-176.3576955	-177.36428265046635	-177.1979725	0.570765%	0.476462%
HPCPE1TrayTemp[15]	-176.5222614	-177.4580367096756	-177.3116008	0.530117%	0.447161%
HPCPE1TrayTemp[16]	-176.6760642	-177.53354651453373	-177.4055086	0.485342%	0.412871%
HPCPE1TrayTemp[17]	-176.8178895	-177.59497949061782	-177.4833354	0.439486%	0.376345%
HPCPE1TrayTemp[18]	-176.9472315	-177.64563865671366	-177.5482725	0.394698%	0.339672%
HPCPE1TrayTemp[19]	-177.0641818	-177.6881829614293	-177.6030297	0.352415%	0.304323%
HPCPE1TrayTemp[20]	-177.1692886	-177.72457971257202	-177.6498139	0.313424%	0.271224%
HPCPE1TrayTemp[21]	-177.2634132	-177.75638453002088	-177.6904095	0.278101%	0.240882%
