Model unknown

  Variables:
    x : Size=1204, Index=x_index
        Key                     : Lower : Value                   : Upper : Fixed : Stale : Domain
        (2.4000000000000004, 0) :  None :      0.0486106372875017 :  None : False : False :  Reals
        (2.4000000000000004, 1) :  None :    -0.09879380850581476 :  None : False : False :  Reals
        (2.4000000000000004, 2) :  None :     0.06889933851311719 :  None : False : False :  Reals
        (2.4000000000000004, 3) :  None :    -0.16615204276487888 :  None : False : False :  Reals
                   (2.46202, 0) :  None :    0.042737371260050484 :  None : False : False :  Reals
                   (2.46202, 1) :  None :    -0.08849075473419679 :  None : False : False :  Reals
                   (2.46202, 2) :  None :     0.05920723153884451 :  None : False : False :  Reals
                   (2.46202, 3) :  None :     -0.1445756686429995 :  None : False : False :  Reals
                   (2.65798, 0) :  None :     0.02965604432524691 :  None : False : False :  Reals
                   (2.65798, 1) :  None :    -0.04340955967618236 :  None : False : False :  Reals
                   (2.65798, 2) :  None :    0.038418088887983315 :  None : False : False :  Reals
                   (2.65798, 3) :  None :    -0.06644184814978368 :  None : False : False :  Reals
        (2.8000000000000003, 0) :  None :    0.026179841825481463 :  None : False : False :  Reals
        (2.8000000000000003, 1) :  None :   -0.004698121475689536 :  None : False : False :  Reals
        (2.8000000000000003, 2) :  None :     0.03326889853211402 :  None : False : False :  Reals
        (2.8000000000000003, 3) :  None :  -0.0054618303670838225 :  None : False : False :  Reals
                   (2.86202, 0) :  None :    0.026389821460922235 :  None : False : False :  Reals
                   (2.86202, 1) :  None :      0.0123569493235096 :  None : False : False :  Reals
                   (2.86202, 2) :  None :     0.03370884047479025 :  None : False : False :  Reals
                   (2.86202, 3) :  None :    0.021003756135521884 :  None : False : False :  Reals
                   (3.05798, 0) :  None :     0.03367437858160148 :  None : False : False :  Reals
                   (3.05798, 1) :  None :      0.0593103551418971 :  None : False : False :  Reals
                   (3.05798, 2) :  None :     0.04570795377278242 :  None : False : False :  Reals
                   (3.05798, 3) :  None :     0.09863466250080768 :  None : False : False :  Reals
                       (3.2, 0) :  None :    0.043900299697061114 :  None : False : False :  Reals
