ColumnLiqLvMFlow
1	1051.2939420858488
2	639.7515635524118
3	637.5652624581091
4	634.5964006831636
5	630.6388270558225
6	625.5299415896785
7	619.2404066263811
8	611.9732242582851
9	604.2164718986355
10	596.6599973817688

ColumnLiqLvMFrac
(1, 'Nitrogen')	0.6264234259778674
(1, 'Oxygen')	0.37357657402213257
(2, 'Nitrogen')	0.6335001688182645
(2, 'Oxygen')	0.3664998311817355
(3, 'Nitrogen')	0.6439740575044501
(3, 'Oxygen')	0.3560259424955499
(4, 'Nitrogen')	0.6591485705190654
(4, 'Oxygen')	0.3408514294809346
(5, 'Nitrogen')	0.6806003341533815
(5, 'Oxygen')	0.31939966584661855
(6, 'Nitrogen')	0.7100012374997712
(6, 'Oxygen')	0.2899987625002288
(7, 'Nitrogen')	0.7486604561521476
(7, 'Oxygen')	0.2513395438478524
(8, 'Nitrogen')	0.7968265107532816
(8, 'Oxygen')	0.2031734892467183
(9, 'Nitrogen')	0.8528429311511696
(9, 'Oxygen')	0.1471570688488304
(10, 'Nitrogen')	0.9127966348240232
(10, 'Oxygen')	0.0872033651759768

ColumnTrayPressure
1	564.0
2	561.2844444444445
3	558.5688888888889
4	555.8533333333334
5	553.1377777777777
6	550.4222222222222
7	547.7066666666666
8	544.9911111111111
9	542.2755555555555
10	539.56

ColumnTrayTemp
1	-173.42992857916965
2	-173.58678216647758
3	-173.78535099026868
4	-174.0403140069099
5	-174.36825631894763
6	-174.7843238983943
7	-175.29648218811698
8	-175.89745232510543
9	-176.55856322011843
10	-177.23168820588535

ColumnVapLvMFlow
1	1588.4576214665628
2	1586.2713203722606
3	1583.3024585973146
4	1579.3448849699737
5	1574.2359995038298
6	1567.9464645405321
7	1560.6792821724362
8	1552.9225298127865
9	1545.36605529592
10	1538.6014805383259

ColumnVapLvMFrac
(1, 'Nitrogen')	0.8352300701457108
(1, 'Oxygen')	0.16476992985428915
(2, 'Nitrogen')	0.8397178458507649
(2, 'Oxygen')	0.16028215414923505
(3, 'Nitrogen')	0.8461669153489233
(3, 'Oxygen')	0.1538330846510767
(4, 'Nitrogen')	0.8552013283272024
(4, 'Oxygen')	0.14479867167279756
(5, 'Nitrogen')	0.8674505475297475
(5, 'Oxygen')	0.1325494524702526
(6, 'Nitrogen')	0.8833500911572408
(6, 'Oxygen')	0.11664990884275916
(7, 'Nitrogen')	0.9028641259897774
(7, 'Oxygen')	0.09713587401022268
(8, 'Nitrogen')	0.9251888400420484
(8, 'Oxygen')	0.0748111599579516
(9, 'Nitrogen')	0.948690492979838
(9, 'Oxygen')	0.051309507020162
(10, 'Nitrogen')	0.9712648500576843
(10, 'Oxygen')	0.02873514994231564

CondensorMHeatOut	4020332.801923299

CondensorPrdtMFlow	44.4007307351529

CondensorRefMFlow	589.8954226241747

CondensorTemp	-177.87997795169986

FeedLiqMFrac
Nitrogen	0.6478495504563839
Oxygen	0.352150449543616

FeedTemp	-173.94432718550902

FeedVapMFrac
Nitrogen	0.825537612385904
Oxygen	0.174462387614096

GNSplitterOutAMFlow	904.3053271789983

GNSplitterOutBMFlow	634.2961533593276

ReboilerLiqLvMFlow	368.8772237156671

ReboilerLiqLvMFrac
Nitrogen	0.4810224011259488
Oxygen	0.5189775988740513

ReboilerTemp	-171.85340737200008

ReboilerVapLvMFlow	682.4167183701817

ReboilerVapLvMFrac
Nitrogen	0.7050192823350878
Oxygen	0.29498071766491224

SumpHldpMFrac
Nitrogen	0.6264234259778674
Oxygen	0.37357657402213257

SumpOutMFlow	1051.2939420858488

