Model unknown

  Variables:
    FeedTemp : Size=31, Index=Time
        Key      : Lower : Value               : Upper : Fixed : Stale : Domain
               0 :  None : -173.94432718550902 :  None : False : False :  Reals
        0.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        0.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             1.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        1.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        1.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             2.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        2.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        2.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             3.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        3.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        3.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             4.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        4.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        4.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             5.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        5.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        5.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             6.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        6.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        6.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             7.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        7.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        7.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             8.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        8.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        8.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
             9.0 :  None : -173.94432718550902 :  None : False : False :  Reals
        9.155051 :  None : -173.94432718550902 :  None : False : False :  Reals
        9.644949 :  None : -173.94432718550902 :  None : False : False :  Reals
              10 :  None : -173.94432718550902 :  None : False : False :  Reals
    FeedLiqMFrac : Size=62, Index=FeedLiqMFrac_index
        Key                    : Lower : Value               : Upper : Fixed : Stale : Domain
          (6.155051, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (6.644949, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (6.644949, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
             (7.0, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
               (7.0, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (7.155051, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (7.155051, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (7.644949, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (7.644949, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
             (8.0, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
               (8.0, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (8.155051, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (8.155051, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (8.644949, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (8.644949, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
             (9.0, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
               (9.0, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (9.155051, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (9.155051, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
        (9.644949, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
          (9.644949, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
              (10, 'Nitrogen') :     0 :  0.8255376123859038 :     1 : False : False :  Reals
                (10, 'Oxygen') :     0 : 0.17446238761409613 :     1 : False : False :  Reals
    ColumnVapLvMFlow : Size=310, Index=ColumnVapLvMFlow_index
        Key            : Lower : Value              : Upper : Fixed : Stale : Domain
                (0, 1) :     0 :  1584.778786302638 :  None : False : False : NonNegativeReals
                (0, 2) :     0 : 1582.5801767896571 :  None : False : False : NonNegativeReals
                (0, 3) :     0 : 1579.6022021842168 :  None : False : False : NonNegativeReals
                (0, 4) :     0 : 1575.6484701818424 :  None : False : False : NonNegativeReals
                (0, 5) :     0 :  1570.565711675016 :  None : False : False : NonNegativeReals
                (0, 6) :     0 :  1564.339507734429 :  None : False : False : NonNegativeReals
                (0, 7) :     0 :  1557.186071284603 :  None : False : False : NonNegativeReals
                (0, 8) :     0 : 1549.5872193380073 :  None : False : False : NonNegativeReals
                (0, 9) :     0 : 1542.2023630390518 :  None : False : False : NonNegativeReals
               (0, 10) :     0 : 1522.6121855256063 :  None : False : False : NonNegativeReals
         (0.155051, 1) :     0 : 1601.1914865907568 :  None : False : False : NonNegativeReals
         (0.155051, 2) :     0 : 1600.6449174311151 :  None : False : False : NonNegativeReals
         (0.155051, 3) :     0 : 1598.5914569144995 :  None : False : False : NonNegativeReals
         (0.155051, 4) :     0 : 1594.9942630877458 :  None : False : False : NonNegativeReals
         (0.155051, 5) :     0 : 1589.7783367565864 :  None : False : False : NonNegativeReals
         (0.155051, 6) :     0 : 1582.9147009011374 :  None : False : False : NonNegativeReals
         (0.155051, 7) :     0 : 1574.5229045127896 :  None : False : False : NonNegativeReals
         (0.155051, 8) :     0 : 1564.9492607756072 :  None : False : False : NonNegativeReals
         (0.155051, 9) :     0 :  1554.752165632684 :  None : False : False : NonNegativeReals
        (0.155051, 10) :     0 : 1544.8613288630222 :  None : False : False : NonNegativeReals
         (0.644949, 1) :     0 : 1599.1209340716175 :  None : False : False : NonNegativeReals
         (0.644949, 2) :     0 : 1598.1993487419227 :  None : False : False : NonNegativeReals
         (0.644949, 3) :     0 : 1596.7632694765682 :  None : False : False : NonNegativeReals
         (0.644949, 4) :     0 :  1594.415920518287 :  None : False : False : NonNegativeReals
         (0.644949, 5) :     0 : 1590.8143156442775 :  None : False : False : NonNegativeReals
         (0.644949, 6) :     0 : 1585.6784760094652 :  None : False : False : NonNegativeReals
         (0.644949, 7) :     0 : 1578.8241026822927 :  None : False : False : NonNegativeReals
         (0.644949, 8) :     0 :  1570.212148707233 :  None : False : False : NonNegativeReals
         (0.644949, 9) :     0 : 1559.9985974987255 :  None : False : False : NonNegativeReals
        (0.644949, 10) :     0 : 1548.8781788045867 :  None : False : False : NonNegativeReals
              (1.0, 1) :     0 : 1599.7195112810193 :  None : False : False : NonNegativeReals
              (1.0, 2) :     0 : 1598.5209442916585 :  None : False : False : NonNegativeReals
              (1.0, 3) :     0 : 1596.7691519396142 :  None : False : False : NonNegativeReals
